t,primary_x,primary_y,primary_z,tracking_error,solve_time_ms,iterations,converged,tool_frame_x,tool_frame_y,tool_frame_z
10.264048647,0.14098456401862533,0.28104956405681686,2.3762964781481246,0.139204026,4.034953,11.0,1.0,0.14098456401862533,0.28104956405681686,2.3762964781481246
10.27204463,0.14045954241530975,0.28107671187288646,2.3763775353255134,0.138858495,4.098041,11.0,1.0,0.14045954241530975,0.28107671187288646,2.3763775353255134
10.280019117,0.14001529448648903,0.2810961399300366,2.376445722808455,0.138907575,4.027245,11.0,1.0,0.14001529448648903,0.2810961399300366,2.376445722808455
10.288045368,0.13945387479665172,0.28110283577522405,2.376528848251077,0.139047541,4.037917,11.0,1.0,0.13945387479665172,0.28110283577522405,2.376528848251077
10.296051271,0.13894232367371132,0.28110574728034987,2.376604448894734,0.139344532,4.03123,11.0,1.0,0.13894232367371132,0.28110574728034987,2.376604448894734
10.304044962,0.13842049632900605,0.2811127935450739,2.376682633700631,0.139429782,4.311962,10.0,1.0,0.13842049632900605,0.2811127935450739,2.376682633700631
10.312050048,0.13786367184172377,0.2811211371308055,2.376766566331601,0.139319451,4.13882,11.0,1.0,0.13786367184172377,0.2811211371308055,2.376766566331601
10.32004555,0.13725049424449015,0.2811282440104832,2.3768588557344628,0.139020495,4.082061,11.0,1.0,0.13725049424449015,0.2811282440104832,2.3768588557344628
10.328045116,0.13654737254614266,0.2811325822070136,2.3769641626315376,0.138467447,4.261785,11.0,1.0,0.13654737254614266,0.2811325822070136,2.3769641626315376
10.33604507,0.13591314221472858,0.28111641204520704,2.377054962817209,0.138820119,4.03059,11.0,1.0,0.13591314221472858,0.28111641204520704,2.377054962817209
10.344045471,0.13530454724608879,0.281103423036299,2.3771429598753904,0.139052867,4.228874,11.0,1.0,0.13530454724608879,0.281103423036299,2.3771429598753904
10.35204993,0.13483761704099725,0.28109573531664256,2.377211258919008,0.139531345,4.018335,11.0,1.0,0.13483761704099725,0.28109573531664256,2.377211258919008
10.360045832,0.13418650336265947,0.2810849390795715,2.37730672635037,0.139423223,4.261908,11.0,1.0,0.13418650336265947,0.2810849390795715,2.37730672635037
10.368070855,0.13347827300248244,0.2810716020534912,2.377410424078567,0.139141365,4.066526,11.0,1.0,0.13347827300248244,0.2810716020534912,2.377410424078567
10.376046027,0.1326930654052823,0.2810532895113458,2.3775246388968627,0.138678214,4.146367,11.0,1.0,0.1326930654052823,0.2810532895113458,2.3775246388968627
10.384049751,0.1319286856961116,0.28102087335215514,2.377631969096148,0.138827208,4.018791,11.0,1.0,0.1319286856961116,0.28102087335215514,2.377631969096148
10.392054021,0.13121583517407676,0.2809885128170848,2.377731822450377,0.139072411,4.211767,11.0,1.0,0.13121583517407676,0.2809885128170848,2.377731822450377
10.400045714,0.13049592389112816,0.28095813344221204,2.377833635588759,0.139126046,4.041637,11.0,1.0,0.13049592389112816,0.28095813344221204,2.377833635588759
10.408045811,0.12974039534595283,0.2809264850203539,2.3779408799385204,0.139000117,4.292773,11.0,1.0,0.12974039534595283,0.2809264850203539,2.3779408799385204
10.416046734,0.12913293863052733,0.28090040871536137,2.378027075218252,0.139227556,4.04525,11.0,1.0,0.12913293863052733,0.28090040871536137,2.378027075218252
10.424050704,0.12825801905654066,0.28085997624981945,2.3781503353257207,0.138806142,4.113942,11.0,1.0,0.12825801905654066,0.28085997624981945,2.3781503353257207
10.432051452,0.12768958818579362,0.28082556939213005,2.3782115146950407,0.140938666,4.038844,11.0,1.0,0.12768958818579362,0.28082556939213005,2.3782115146950407
10.440065132,0.1273266430582797,0.2807986400660459,2.3782495288950223,0.143086378,4.033652,11.0,1.0,0.1273266430582797,0.2807986400660459,2.3782495288950223
10.448060599,0.1270907558555499,0.28078699872809654,2.3782751072379447,0.144930174,4.045527,11.0,1.0,0.1270907558555499,0.28078699872809654,2.3782751072379447
10.456046251,0.1269294608747393,0.28078594978005045,2.378293922671428,0.146527724,4.026252,11.0,1.0,0.1269294608747393,0.28078594978005045,2.378293922671428
10.464046323,0.1268050037831003,0.2807906968200826,2.378309393311886,0.147997781,4.042976,11.0,1.0,0.1268050037831003,0.2807906968200826,2.378309393311886
10.472046075,0.12668222321286085,0.28079775233956317,2.3783250151196675,0.149394828,4.058522,11.0,1.0,0.12668222321286085,0.28079775233956317,2.3783250151196675
10.480001524,0.12631962108858139,0.28077863724683405,2.37839013645069,0.149095535,4.049667,11.0,1.0,0.12631962108858139,0.28077863724683405,2.37839013645069
10.488047609,0.12599400017671253,0.2807609201446452,2.3784447979423002,0.149351551,4.0362,11.0,1.0,0.12599400017671253,0.2807609201446452,2.3784447979423002
10.496055955,0.1254586206404737,0.2807279271704603,2.378530379594213,0.148961472,4.047604,11.0,1.0,0.1254586206404737,0.2807279271704603,2.378530379594213
10.504046428,0.12478408091471352,0.2806820961098595,2.3786332946166517,0.14841339,4.070624,11.0,1.0,0.12478408091471352,0.2806820961098595,2.3786332946166517
10.512052622,0.12395280921156307,0.28062135427087564,2.3787552692663163,0.147718679,4.034776,11.0,1.0,0.12395280921156307,0.28062135427087564,2.3787552692663163
10.520046581,0.12293160072613839,0.28054267676815137,2.3789003893114686,0.146802995,4.005274,11.0,1.0,0.12293160072613839,0.28054267676815137,2.3789003893114686
10.528046486,0.12171842833918696,0.28044467999070305,2.3790676311536063,0.145747421,4.146246,11.0,1.0,0.12171842833918696,0.28044467999070305,2.3790676311536063
10.536047087,0.12089527396142744,0.2803658455212827,2.3791622772032825,0.147555075,4.041196,11.0,1.0,0.12089527396142744,0.2803658455212827,2.3791622772032825
10.544047062,0.1202963590151578,0.28031106768572334,2.379232154770132,0.149150149,4.176655,11.0,1.0,0.1202963590151578,0.28031106768572334,2.379232154770132
10.55204696,0.1200109855687909,0.2802888164736558,2.379261884875366,0.151119693,4.006876,11.0,1.0,0.1200109855687909,0.2802888164736558,2.379261884875366
10.560050307,0.11965004266053168,0.28025784068082166,2.379308549557222,0.152326369,4.125686,11.0,1.0,0.11965004266053168,0.28025784068082166,2.379308549557222
10.568047261,0.11935899713396676,0.2802335159654705,2.379348503085917,0.153416367,4.02486,11.0,1.0,0.11935899713396676,0.2802335159654705,2.379348503085917
10.5760469,0.11909586059356139,0.2802117477875676,2.3793858512874073,0.154450508,4.003034,11.0,1.0,0.11909586059356139,0.2802117477875676,2.3793858512874073
10.584046824,0.1188231833769522,0.28018885434782054,2.379424303374344,0.155472931,4.030619,11.0,1.0,0.1188231833769522,0.28018885434782054,2.379424303374344
10.592048505,0.11849640427479383,0.2801604682541685,2.3794686537575878,0.156496302,4.020615,11.0,1.0,0.11849640427479383,0.2801604682541685,2.3794686537575878
10.600047014,0.117980212626925,0.28010990472273134,2.37954346437524,0.156686176,4.029922,11.0,1.0,0.117980212626925,0.28010990472273134,2.37954346437524
10.608046914,0.11724162154541065,0.2800356559275113,2.379649974680119,0.156201726,4.04361,11.0,1.0,0.11724162154541065,0.2800356559275113,2.379649974680119
10.616047199,0.11657112937490814,0.27996750578128454,2.379743451467854,0.156175044,4.012081,11.0,1.0,0.11657112937490814,0.27996750578128454,2.379743451467854
10.624047748,0.11551603032642646,0.2798593734286966,2.379885870884713,0.155423679,4.031948,11.0,1.0,0.11551603032642646,0.2798593734286966,2.379885870884713
10.632054453,0.11426098964139232,0.2797298236705931,2.3800500474592816,0.154521894,4.125374,11.0,1.0,0.11426098964139232,0.2797298236705931,2.3800500474592816
10.640048106,0.11279682955271164,0.2795777150869854,2.3802361911205128,0.153467835,4.042286,11.0,1.0,0.11279682955271164,0.2795777150869854,2.3802361911205128
10.648047492,0.11111763333601408,0.2794022110353521,2.3804440134615006,0.152268819,4.018221,11.0,1.0,0.11111763333601408,0.2794022110353521,2.3804440134615006
10.656047604,0.10985721772244422,0.2792704916154597,2.3805810289881797,0.153722348,4.043695,11.0,1.0,0.10985721772244422,0.2792704916154597,2.3805810289881797
10.664048023,0.108886720958772,0.2791720047694124,2.3806878931826403,0.154917501,4.099055,11.0,1.0,0.108886720958772,0.2791720047694124,2.3806878931826403
10.672047522,0.1081224923882456,0.27909214656362985,2.380775386994943,0.155849066,4.070143,11.0,1.0,0.1081224923882456,0.27909214656362985,2.380775386994943
10.680048175,0.10770506874242995,0.2790480482320167,2.3808213146413335,0.157365271,4.041061,11.0,1.0,0.10770506874242995,0.2790480482320167,2.3808213146413335
10.688075014,0.1071522319297968,0.27898461308737216,2.3808892750760737,0.158067928,4.062421,11.0,1.0,0.1071522319297968,0.27898461308737216,2.3808892750760737
10.696047741,0.10664677637374348,0.27892351006437577,2.380952778981327,0.158720006,4.018209,11.0,1.0,0.10664677637374348,0.27892351006437577,2.380952778981327
10.704047949,0.10614305654666589,0.27886033732842735,2.3810160710116617,0.159385081,4.050251,11.0,1.0,0.10614305654666589,0.27886033732842735,2.3810160710116617
10.712051717,0.10560123372430286,0.27879122518048016,2.3810828643917685,0.160088733,4.007546,11.0,1.0,0.10560123372430286,0.27879122518048016,2.3810828643917685
10.720048022,0.10497310243286434,0.2787107194864591,2.381157970196387,0.160833293,4.08555,11.0,1.0,0.10497310243286434,0.2787107194864591,2.381157970196387
10.728048063,0.10423260514266433,0.27861693549376,2.381243324861306,0.161661212,4.07502,11.0,1.0,0.10423260514266433,0.27861693549376,2.381243324861306
