scenario,method,sample_id,seed,dof,horizon,max_iterations,perturbation,level,solver_failed,solver_converged,solve_ms,solver_final_iter,solver_final_cost,solver_final_stop,planning_terminal_rmse,mpc_steps,mpc_failed_steps,mpc_converged_steps,mean_mpc_solve_ms,max_mpc_solve_ms,rollout_finite,rollout_terminal_error_norm,rollout_terminal_rmse,rollout_trajectory_rmse,max_abs_q,max_abs_dq,rms_tau,max_tau_ratio,success,failure_message
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",-0.2,0,1,1.8164313,4,1.018782449,0.000000045,0.000299848,50,0,50,1.8164313,2.254514,1,0.329195459,0.134393484,0.163195906,0.460420575,0.581969042,39.185470672,0.298845389,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",-0.1,0,1,1.85583346,4,1.018782449,0.000000045,0.000299848,50,0,50,1.85583346,2.265982,1,0.19484078,0.079543415,0.152551015,0.352249629,0.456268301,43.460872585,0.310503947,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",0.1,0,1,2.25431702,4,1.018782449,0.000000045,0.000299848,50,0,50,2.25431702,2.266483,1,0.366101367,0.149460257,0.186075514,0.418697966,0.412490551,51.222267909,0.374860145,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",0.2,0,1,1.93789186,4,1.018782449,0.000000045,0.000299848,50,0,50,1.93789186,2.268523,1,0.684689248,0.279523215,0.238502137,0.537781279,0.442304447,54.67206958,0.404573617,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"mass_inertia_scale",0.3,0,1,2.22684112,4,1.018782449,0.000000045,0.000299848,50,0,50,2.22684112,3.648652,1,1.076800781,0.439602078,0.311550476,0.645225766,0.798302737,57.836686111,0.432315037,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"com_offset",0.01,0,1,1.77789934,4,1.018782449,0.000000045,0.000299848,50,0,50,1.77789934,2.255459,1,1.635605224,0.667733037,0.573950079,1.748100396,4.824809996,47.477219383,0.343318422,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"com_offset",0.02,0,1,1.76894736,4,1.018782449,0.000000045,0.000299848,50,0,50,1.76894736,2.251254,1,1.787973851,0.729937268,0.655702583,1.951403356,8.234556134,47.477513706,0.343256803,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"com_offset",0.05,0,1,1.86402404,4,1.018782449,0.000000045,0.000299848,50,0,50,1.86402404,2.257937,1,1.791686861,0.731453098,0.713449757,2.394644645,13.209048949,47.479487661,0.34343513,0,""
"ur10","TetraPGA",2,20260624,6,50,25,"external_force",5,0,1,1.91768934,4,1.018782449,0.000000045,0.000299848,50,0,50,1.91768934,2.267852,1,0.158046441,0.064522189,0.156693014,0.290365178,0.77065202,47.481999245,0.343308508,1,""
"ur10","TetraPGA",2,20260624,6,50,25,"external_force",10,0,1,1.9161728,4,1.018782449,0.000000045,0.000299848,50,0,50,1.9161728,2.264181,1,0.155690364,0.063560325,0.156067551,0.290369725,1.257976039,47.481629537,0.343308508,1,""
