model,dof,seed,sample_id,d_safe,obstacle_count,success,failed,cost,stop,iter,solve_ms,initial_min_distance,final_min_distance,trajectory_min_distance,safety_violation_count,collision_violation_count,placement_error_norm,path_length,jerk_rms,torque_rate_rms,failure_message
ur10,6,2099586955,0,0.15,8,1,0,778.512628009,0.00000032,76,79.457879,-0.023342951,-0.081449529,-0.086648779,303,96,0.409404369,3.14958577,21041.146498084,11111.708050955,""
ur10,6,2099586954,1,0.15,8,1,0,814.619600866,0.000000418,67,67.563961,0.141857778,0.068326826,-0.060441937,209,22,0.415220218,2.952042558,12949.376278393,9526.918421326,""
ur10,6,2099586997,2,0.15,8,0,0,1114.973746493,0.081031024,80,87.271045,0.003204609,0.005412963,-0.123969154,236,105,0.320530118,2.915864762,41011.771440223,5803.051642591,""
ur10,6,2099586996,3,0.15,8,0,0,630.502576332,0.001742453,80,85.680859,-0.036658883,-0.070777123,-0.098409823,365,63,0.370922989,3.126100031,50915.525971211,9550.151836576,""
ur10,6,2099586999,4,0.15,8,0,0,663.393814676,0.224846258,80,83.006472,0.036749044,-0.066126676,-0.066126676,299,25,0.884069883,3.171598771,19458.749072455,8360.824259639,""
ur10,6,2099587517,0,0.15,16,0,0,2107.752293199,0.408423374,80,93.505819,0.015326761,0.025986809,-0.090785379,368,66,0.493801578,3.110691497,43517.711332873,7914.613026364,""
ur10,6,2099587516,1,0.15,16,1,0,1593.640162258,0.000000243,63,71.728043,-0.077990625,-0.136269437,-0.136269437,671,120,0.395146465,2.949473142,8128.767070258,10935.346056043,""
ur10,6,2099587519,2,0.15,16,0,0,1437.925852823,0.000028204,80,92.545392,-0.05606056,-0.019100228,-0.075776009,653,124,0.998041451,3.21221368,24488.378407976,9335.6674771,""
ur10,6,2099587518,3,0.15,16,0,0,1621.443642619,0.000001236,80,87.771034,-0.067546421,-0.17242108,-0.174005517,785,217,0.691355975,3.144034063,15288.768697224,8503.929818421,""
ur10,6,2099587513,4,0.15,16,0,0,1432.500499787,0.029913116,80,98.749944,-0.119001913,-0.045470767,-0.129224352,445,78,0.461961067,3.183877822,66657.649569773,5526.399007562,""
